  ID       E_NAME            cluster      X(m)         Y(m)         Z(m)
020884  AKAIGAWA               A1    -3616327.247  2948236.281  4334333.545
020885  HOKKAIDOUHIDAKA        A1    -3714897.576  2847219.854  4318862.687
020886  URAHORO                A1    -3775300.349  2777746.868  4311285.220
020887  MEMURO                 A1    -3740932.987  2823739.190  4311671.166
020888  SHIMAMAKI              A1    -3597776.202  3017632.901  4301899.725
020889  MAKUBETSU              A1    -3766348.000  2806041.056  4301078.677
020890  MONBETSU2              A1    -3728071.118  2871423.865  4291262.882
020891  URAKAWA                A1    -3763119.775  2859683.086  4268494.622
020892  TOI                    A1    -3700389.730  3004081.028  4224189.488
020893  KIKONAI                A1    -3681295.227  3030847.916  4221759.495
020894  KAZAMAURA              A1    -3724798.408  3006127.486  4201416.977
020895  AOMORIKAWAUCHI         A1    -3734145.285  3025598.372  4179160.914
020896  HIGASHIDOORI2          A1    -3757492.789  3001103.606  4175928.883
020897  KODOMARI               A1    -3701833.034  3074027.431  4172674.391
020898  FUKAURA                A1    -3708436.813  3110535.573  4139868.597
020899  TOWADAKO1              A1    -3775745.623  3045987.376  4127240.868
020900  NISHIMEYA              A1    -3732527.720  3099165.832  4126907.689
020901  GONOHE                 A1    -3791726.609  3034271.042  4121212.137
020902  TOWADAKO2              A1    -3774563.950  3062958.104  4116245.093
020903  KARUMAI                A1    -3813258.233  3034847.595  4101177.797
020904  ASHIRO                 A1    -3799118.846  3071368.862  4087282.462
020905  IWAIZUMI3              A1    -3839562.266  3036420.841  4075790.298
020906  TAROU                  A1    -3868605.831  3025725.090  4055772.298
020907  KAWAI2                 A1    -3845601.120  3067032.850  4047667.858
020908  SAWAUCHI               A1    -3818357.753  3110148.327  4040267.038
020909  OOHASAMA               A1    -3847837.651  3083470.984  4032433.523
020910  ESASHI                 A1    -3861429.665  3092297.079  4012731.297
020911  IWATEDAITOU            A1    -3878455.819  3096035.877  3993495.075
020912  HIRAIZUMI              A1    -3865640.382  3113776.669  3992008.428
020913  KURIKOMA2              A1    -3852107.655  3137988.687  3987057.380
020914  MIYAGITOUWA            A1    -3888499.576  3113285.548  3970160.110
020915  TAKASHIMIZU            A1    -3874514.128  3137034.274  3965244.859
020916  MINAMIKATA             A1    -3884407.000  3127530.377  3963000.415
020917  ONODA                  A1    -3865529.462  3160777.088  3955404.770
020918  MIYAGIKAHOKU           A2    -3900409.698  3124325.976  3949941.096
020919  NATORI                 A2    -3898429.719  3163235.073  3920947.384
020920  MARUMORI               A2    -3905306.122  3193308.458  3890295.587
020921  HACHIMORI              A1    -3730942.409  3127574.808  4106813.578
020922  TAKANOSU               A1    -3760296.590  3109886.809  4093621.483
020923  HACHIRYUU              A1    -3742902.914  3140056.770  4086489.273
020924  ANI2                   A1    -3781804.901  3113506.628  4071508.878
020925  AKITAIWAKI             A1    -3776757.718  3163023.392  4037714.058
020926  OOTA                   A1    -3807600.294  3128033.600  4036073.019
020927  HIGASHIYURI            A1    -3801724.841  3158615.670  4017979.370
020928  HIGASHINARUSE          A1    -3833922.525  3136348.085  4005121.153
020929  OGACHI                 A1    -3824110.278  3158261.571  3997132.819
020930  MAMUROGAWA             A1    -3815749.292  3181027.564  3987083.879
020931  MOGAMI                 A1    -3843140.988  3168349.624  3971045.087
020932  TSURUOKA               A1    -3799845.712  3225409.127  3966519.033
020933  OOKURA                 A2    -3834413.632  3192388.802  3960345.838
020934  YAMAGATA               A2    -3868783.738  3201232.193  3920909.741
020935  IIDE                   A2    -3852649.234  3246599.288  3898754.388
020936  FUKUSHIMA2             A2    -3889025.967  3211935.749  3890962.188
020937  KITASHIOBARA           A2    -3871030.291  3251328.769  3876724.515
020938  FUKUSHIMATOUWA         A2    -3908902.140  3214049.074  3869850.791
020939  AIZUTAKADA             A2    -3873892.624  3269578.188  3858323.308
020940  FUKUSIMAKOORIYA3       A2    -3910432.016  3227636.598  3856929.214
020941  FUKUSHIMASHOUWA        A2    -3872635.646  3285820.858  3846738.655
020942  FUKUSIMANAGANUMA       A2    -3904104.411  3251306.045  3843542.346
020943  TAMAKAWA               A2    -3921885.157  3238593.199  3836278.936
020944  IWAKI3                 A2    -3938322.378  3221643.653  3833920.927
020945  TANAGURA               A2    -3927262.795  3251654.959  3819689.200
020946  IWAKI4                 A2    -3949646.820  3233882.521  3811557.843
020947  JOUHOKU                A2    -3955659.275  3274070.178  3770834.267
020948  NASU2                  A2    -3902942.624  3270849.455  3828918.928
020949  KURIYAMA               A2    -3885513.071  3317918.443  3806713.647
020950  KANUMA                 A2    -3916188.267  3314970.711  3776392.426
020951  KAMINOKAWA             A2    -3928897.181  3308144.762  3769130.769
020952  MINAKAMI2              A2    -3861238.459  3349330.226  3803441.757
020953  GUNMATONE              A2    -3882917.035  3347593.109  3783075.734
020954  NAKANOJOU              A2    -3860821.929  3374197.945  3781330.650
020955  GUNMA                  A2    -3880367.667  3371165.721  3763698.680
020956  GUNMASAKAI             A2    -3900635.433  3360452.205  3752232.225
020957  NANMOKU                A2    -3871770.627  3401076.341  3746536.400
020958  SAITAMAOOTAKI          A3    -3898611.519  3397855.002  3722588.728
020959  KAMOGAWA2              A3    -3997938.740  3358419.727  3650987.478
020960  HIRATSUKA              A3    -3950331.882  3389904.499  3673391.099
020961  NIIGATASHITADA         A2    -3828144.681  3314704.442  3865200.620
020962  TAKAYANAGI             A2    -3817019.855  3361061.458  3836249.081
020963  YUNOTANI               A2    -3855873.419  3322772.313  3831803.075
020964  YASUZUKA               A2    -3811895.903  3377541.467  3826981.333
020965  DAIGO                  A2    -3935177.628  3267454.852  3797886.627
020966  HIMI                   A2    -3735460.873  3480153.316  3810284.382
020967  UNAZUKI                A2    -3769970.062  3448333.441  3805462.084
020968  SHINMINATO             A2    -3751107.907  3479104.608  3795933.030
020969  FUKUMITSU              A2    -3737970.853  3509402.447  3781224.732
020970  HOSOIRI                A2    -3770231.388  3486481.382  3770659.592
020971  WAJIMA2                A2    -3710766.062  3456238.103  3855638.018
020972  ANAMIZU                A2    -3713308.675  3473786.581  3837459.618
020973  MATTOU                 A2    -3724236.409  3529147.216  3776288.044
020974  YAMANAKA               A4    -3727892.647  3554785.983  3748843.349
020975  FUKUI                  A4    -3714041.305  3580481.418  3738063.580
020976  FUKUIIZUMI             A4    -3762004.028  3550375.868  3719609.749
020977  FUKUIIKEDA             A4    -3742732.296  3571689.571  3718303.444
020978  FUKUIOBAMA             A4    -3724635.854  3627664.745  3681981.884
020979  YAMANASHITAKANE        A2    -3871136.828  3431617.625  3720361.575
020980  KOSUGE                 A2    -3908416.315  3403528.366  3706519.214
020981  KAMIKUISHIKI           A3    -3901953.768  3439203.803  3680814.206
020982  NAGANOSAKAE            A2    -3834603.096  3377774.030  3805123.158
020983  TOGAKUSHI              A2    -3810901.740  3419719.581  3791925.067
020984  KOUSHOKU               A2    -3821030.821  3425894.255  3775282.629
020985  MOCHIZUKI              A2    -3848803.693  3421209.056  3752047.992
020986  KISO                   A2    -3829407.243  3474068.624  3723823.547
020987  TAKATOO                A2    -3851299.288  3456094.218  3717806.069
020988  OUTAKI                 A2    -3815282.181  3502084.121  3712261.217
020989  OOKUWA                 A2    -3832666.771  3497233.972  3698035.213
020990  KIYOMI                 A2    -3776940.058  3512142.136  3741300.558
020991  ITADORI                A2    -3778233.588  3549906.651  3703556.988
020992  ENA                    A2    -3820149.703  3524010.329  3685545.936
020993  IBIGAWA                A2    -3774614.142  3576308.705  3681425.687
020994  TOKI                   A2    -3827105.398  3537452.894  3665360.985
020995  SHITARA                A2    -3856531.976  3524543.728  3647254.341
020996  OKAZAKI                A2    -3838651.330  3560559.793  3630382.861
020997  TOYOHASHI2             A2    -3856334.876  3553695.156  3618412.605
020998  MINAMICHITA            A2    -3833542.238  3582539.230  3614241.404
020999  OODAI                  A2    -3819030.528  3627361.780  3585069.154
021000  KIWA                   A4    -3808588.071  3687132.159  3535191.591
021001  FUKUCHIYAMA2           A4    -3685271.367  3674013.934  3676048.852
021002  AYABE                  A4    -3705333.732  3661527.580  3668202.268
021003  KEIHOKU                A4    -3732276.197  3650551.969  3652121.624
021004  HANNAN                 A4    -3742875.376  3714249.364  3576478.485
021005  ONSEN                  A4    -3641426.252  3707726.121  3685847.437
021006  AKOU                   A4    -3668633.404  3749411.082  3616087.663
021007  TSUKIGASE              A4    -3778480.324  3643500.544  3611683.716
021008  MITSUE                 A4    -3796828.098  3644444.476  3592040.369
021009  NARAKAWAKAMI           A4    -3794940.502  3664392.977  3573565.257
021010  TENKAWA                A4    -3787904.177  3676534.336  3569033.619
021011  RYUUJIN                A4    -3781804.310  3709368.013  3541255.110
021012  NACHIKATSUURA2         A4    -3815115.336  3699417.374  3516254.880
021013  HIKIGAWA               A4    -3792738.271  3722712.146  3515033.355
021014  TOTTORI                A4    -3622526.130  3725740.660  3685889.687
021015  NAWA                   A5    -3577761.986  3770815.845  3683835.676
021016  HAWAI                  A5    -3602937.731  3747965.142  3682579.349
021017  SAJI                   A4    -3628520.487  3737034.019  3668852.613
021018  MATSUE2                A5    -3540525.790  3807128.271  3682481.882
021019  HIROSE                 A5    -3566463.403  3798949.137  3666153.210
021020  KISUKI                 A5    -3547217.313  3816900.903  3666008.564
021021  SADA                   A5    -3534987.103  3834989.063  3659106.102
021022  YUNOTSU                A5    -3524716.276  3862010.547  3640941.458
021023  HASUMI                 A5    -3552424.077  3851726.628  3625028.632
021024  YASAKA                 A5    -3516933.110  3890974.979  3617895.145
021025  MASUDA                 A5    -3502843.672  3916298.611  3603684.442
021026  YATSUKA                A5    -3600148.922  3769874.467  3663832.872
021027  KAGAMINO               A5    -3623118.370  3763308.848  3647544.776
021028  OKAYAMA1               A5    -3631769.474  3787116.156  3614065.127
021029  OKAYAMA2               A4    -3649593.562  3782883.404  3600566.324
021030  HIROSHIMATAKANO        A5    -3559409.156  3830099.947  3641410.787
021031  SERANISHI              A5    -3577046.639  3848268.203  3604752.654
021032  HIROSIMAFUKUYAM2       A5    -3606961.362  3822092.396  3602786.425
021033  MITSUGI                A5    -3597535.384  3839009.765  3593817.291
