  ID       E_NAME            cluster      X(m)         Y(m)         Z(m)
04S048  S-HAMAMATSU            A3    -3885149.491  3526460.626  3614272.035
051140  OKINOTORISHIMA         A3    -4307239.870  4147690.543  2211922.880
051141  SHIMANTO               A4    -3644906.150  3913927.107  3463681.325
051142  SUKUMO2                A4    -3632508.992  3939846.546  3447252.296
051143  TSUCHIYAMA-A           C4    -3784509.198  3617115.343  3631741.805
051144  HEDA-B                 C3    -3936585.893  3446868.832  3635235.749
051145  IWATEKAWASAKI-A        C1    -3878010.913  3108740.655  3983902.041
051146  WAKAYAMASIMIZU-A       C4    -3767013.963  3711396.201  3554461.761
051147  TOKUYAMA-A             C5    -3528765.815  3941860.675  3550512.577
052007  CHICHIJIMA-A           A3    -4490605.466  3483894.695  2884928.199
059069  M-ASAMAKANBARA-A       A2    -3847419.443  3405302.205  3768844.672
059070  M-ASAMASUNATSU-A       A2    -3853670.170  3400291.701  3766970.075
059071  M-OSHIKA               A2    -3918987.492  3113462.797  3940229.325
05S049  S-KUSSHARO             A1    -3762640.128  2689451.568  4377616.592
05S050  S-NEMURO               A1    -3838067.864  2619996.910  4354126.998
05S051  S-HAMANAKA             A1    -3826297.592  2676513.426  4330180.685
05S052  S-SHORO                A1    -3787379.462  2738170.850  4325875.556
05S053  S-TOYOKORO             A1    -3781932.084  2783989.382  4301482.409
05S054  S-ISHINOMAKI           A2    -3922976.692  3122971.137  3928825.908
061148  ISE                    A2    -3831841.993  3607382.727  3591411.211
061149  MINAMIISE              A2    -3838462.173  3618045.566  3573716.855
061150  SOUBETSU-A             C1    -3651539.302  2967653.034  4291534.832
061151  HIGASIHIROSIMA-A       C5    -3565635.050  3870770.279  3591724.670
069072  M-KAMISHIRAIWA         A3    -3950359.737  3429800.066  3637282.228
06S055  S-MOTOYOSHI            A1    -3895422.487  3099278.614  3974362.060
06S056  S-ISINOMAKIKITAK       A2    -3906240.804  3108623.433  3956507.113
06S057  S-ISINOMAKIOGATS       A2    -3913517.058  3109495.052  3948691.425
06S058  S-ISINOMAKIMAKIH       A2    -3915351.396  3121707.562  3937266.059
06S059  S-SHICHIGAHAMA         A2    -3898502.513  3149782.033  3931658.840
06S060  S-MINAMISOUMA          A2    -3929918.336  3180670.038  3875451.645
06S061  S-TSUKUBA              A3    -3957268.629  3310284.206  3737567.557
071152  KOUCHIAKI2             A4    -3688261.065  3829445.222  3511762.212
071153  NAKA                   A4    -3694587.996  3810633.039  3525975.231
071154  MINABE                 A4    -3772966.648  3732969.977  3525250.084
071155  NACHIKATSUURA3         A4    -3820853.709  3693546.840  3515220.952
071156  MIHAMA                 A4    -3817299.492  3683189.801  3529998.888
071157  HIROSHIMA2-A           C5    -3548597.025  3894416.573  3582997.053
071158  SHIKA-A                C2    -3716066.475  3492951.641  3817488.030
071159  HANAMAKI-A             C1    -3840552.975  3103956.676  4023568.951
071160  HAMAMATSU-A            C3    -3885415.553  3532559.363  3608055.540
071161  TOYOHASHI-A            C3    -3867713.293  3551259.152  3608829.045
071162  NIIGATASANPOKU         C2    -3801931.909  3243277.185  3950047.433
071163  GUNMATONE-A            A2    -3885750.474  3345083.410  3782663.474
071164  TOGOUCHI-A             C5    -3536262.494  3890554.158  3599340.342
079073  M-IOTO                 A3    -4522235.767  3622723.060  2657008.179
079074  M-KAKOUGEN-A           A1    -3649581.156  2973414.779  4289813.663
07H026  H-KAMIHIRAKAWA         A3    -3905415.242  3506795.237  3611577.968
07S062  S-MISAWA               A1    -3779053.084  3016867.930  4145204.795
07S063  S-HIRONO               A1    -3826840.484  3013930.308  4103724.108
07S064  S-FUDAI                A1    -3852144.464  3017236.330  4077882.888
07S065  S-OOFUNATO             A1    -3893750.150  3060213.496  4006016.633
07S066  S-RIKUZENTAKATA        A1    -3894288.265  3078858.667  3991180.672
07S067  S-AZUMAKOFUJI          A2    -3887308.348  3225378.532  3882593.274
07S068  S-NAMIE                A2    -3940637.225  3187038.408  3859411.191
07S069  S-TAKAHAGI             A2    -3962725.785  3241196.281  3791545.742
081165  UWAJIMA3               A4    -3611552.241  3927947.256  3482792.438
081166  SHIMANTOCHOU           A4    -3660385.507  3895343.619  3468457.284
081167  ONSEN-A                A4    -3641614.015  3706833.719  3686547.316
081168  NAGASAKI-A             C5    -3441892.700  4134465.766  3414986.060
081169  YABE-A                 A5    -3525031.707  4056923.172  3423958.160
081170  KYOTOSAKYOU1-A         C4    -3738945.552  3639165.841  3656867.754
081171  NERIMA-A               C3    -3948747.671  3355358.057  3706484.175
081172  KOUCHISAGA-A           A4    -3655638.585  3905659.992  3461584.274
081173  TODOHOKKE-A            C1    -3706130.406  2985968.487  4231913.295
089075  M-MIHARAKAKOKI-A       A3    -3984374.408  3415438.857  3613934.410
091174  NISHIMEYA-A            A1    -3732498.266  3099330.792  4126813.010
091175  HIRANAI-A              C1    -3750285.662  3037980.795  4155855.905
091176  FUKUSHIMAKAWAU-A       C2    -3935474.480  3208728.848  3847449.762
091177  SHINTOKU2-A            C1    -3708578.222  2800035.792  4354797.939
091178  OMAEZAKI-A             C3    -3918876.762  3502004.138  3601768.187
091179  SENDAI                 A2    -3883786.471  3172655.057  3928080.835
091180  IWAMI-A                C4    -3628749.381  3714565.331  3691026.925
099076  M-KOMAGATAKE-A         A1    -3670373.671  3004977.264  4250786.099
101181  NARAHA-A               C2    -3949655.312  3198534.146  3840787.129
101182  NEMURO1-A              C1    -3832736.439  2633033.201  4350974.775
101183  ITOU-A                 C3    -3954999.844  3426015.223  3634945.432
109077  M-TARUMAESAN-A         A1    -3668930.591  2932037.979  4302453.963
109078  M-KIRISHIMAYAMA        A5    -3539635.018  4097848.274  3360030.024
10E001  E-HIGASHIIYAYAMA       A4    -3676652.856  3820016.830  3534595.485
111184  TAROU-A                A1    -3868619.317  3026070.643  4055506.837
111185  SENDAITAIHAKU          A2    -3895707.453  3164722.157  3922447.934
111186  SUIBARA-A              C2    -3819702.493  3295117.598  3889909.545
111187  YONAGO-A               C5    -3570636.501  3783912.826  3677315.852
111188  TOTSUKAWA2             A4    -3788349.102  3690031.708  3554164.098
111189  NISHIIYAYAMA-A         A4    -3667583.769  3828116.921  3534624.294
111190  ITOMAN                 C5    -3502500.008  4537205.202  2788450.256
119079  M-MINAMISOUMA          A2    -3930032.127  3180661.368  3875370.623
119080  M-FUJIONIWA-A          A3    -3913216.352  3436442.907  3674097.342
119081  M-OTSUCHI              A1    -3875315.760  3055465.183  4028657.445
11S070  S-MINAMISOUMA-A        A2    -3929302.502  3183750.128  3873584.558
121191  TOONO-A                C1    -3867883.829  3072813.614  4021563.585
121192  HIGASHIIYAYAMA-A       A4    -3678424.528  3817412.071  3535639.970
121193  TANABE-A               C4    -3778416.953  3729209.339  3523430.765
129082  M-KIRISIMAYAMA-A       A5    -3539629.629  4097747.209  3360151.870
131194  NAKAIZU-A              C3    -3952670.095  3433567.989  3631123.792
131195  SHIKAMA-A              C1    -3873431.907  3153445.475  3953301.466
131196  HIGASHIYURI-A          A1    -3801476.714  3158766.136  4018089.678
131197  IMABARI-A              C4    -3605999.489  3868241.220  3553804.411
131198  ANAN1-A                C4    -3721611.916  3770524.779  3539711.020
131199  KAMISHIHORO-A          C1    -3731873.155  2781771.871  4346510.086
131200  YONAGUNI-A             C5    -3159159.244  4875279.435  2624154.837
131201  MIYAGITAIWA-A          C2    -3880877.812  3159320.541  3941379.851
132009  ISHIOKA                A2    -3959648.754  3296836.337  3747005.576
13H101  H-ARAI                 A3    -3875047.369  3542198.563  3609738.820
13H102  H-SHINSHIRO            A3    -3867487.699  3530978.597  3628884.449
13H103  H-TOYOHASHI            A3    -3863152.120  3550697.182  3614144.898
141202  KOUZUSHIMA1-A          C3    -3993161.573  3455990.872  3564785.895
141203  KUSHIMOTO2             C4    -3808565.054  3720929.496  3499806.078
141204  TAKAMATSU-A            C4    -3666102.073  3793262.813  3573015.035
141205  EHIMESAIJOU-A          C4    -3628739.541  3860625.900  3539059.561
141206  KOSUGE-A               A2    -3908604.155  3403264.269  3706503.395
141207  OOTOYO-A               C4    -3665430.591  3840395.883  3523741.851
141208  KAGOSHIMAAMAGI-A       C5    -3545561.796  4392822.666  2958897.668
141209  KAWANE-A               C3    -3895055.142  3496427.359  3632859.279
149083  M-KIRISIMAYAMA2        A5    -3543884.472  4100153.263  3354029.476
149084  M-SHIOFUKIKOUEN        A3    -3956617.341  3424082.422  3635007.297
149085  M-KAWANASHO            A3    -3957328.884  3424764.144  3633678.796
149086  M-IOTO-A               A3    -4522237.958  3622725.681  2657010.131
14E002  E-HAKODATE             C1    -3686037.618  3011716.445  4231288.556
14E003  E-YONAGUNI             C5    -3159179.202  4875200.134  2624281.844
14P125  P-SOUMA-A              A2    -3917829.603  3176933.838  3890627.745
151210  OOI-A                  C4    -3716873.908  3636891.169  3680732.065
151211  YONAGUNI-B             C5    -3159017.370  4875725.458  2623491.405
151212  SHIBATA-A              C2    -3821877.821  3281393.584  3899319.168
151213  MIMA-A                 C4    -3678100.292  3802138.213  3551404.917
159087  M-OWAKUDANI            A3    -3937598.566  3420504.136  3660546.637
159088  M-KUCHINOERABUJI       A5    -3551351.192  4202975.915  3214769.557
159089  M-ASAMAKAMBARA2        A2    -3849001.104  3404963.209  3767841.686
161214  YAMANAKA-A             A4    -3726911.942  3553437.916  3751079.999
161215  SUMITA-A               C1    -3879204.815  3074627.965  4009190.380
161216  KAKEGAWA-A             C3    -3898823.079  3507651.882  3617873.715
161217  YUGAWARA-A             C3    -3946893.680  3417637.712  3651483.213
161218  KAGOSHIMA1-A           C5    -3535219.387  4137950.108  3314622.492
16P217  P-CHICHIJIMA-A         A3    -4489485.523  3483086.870  2887521.881
171219  KYOUGOKU-A             C1    -3633286.602  2954445.537  4316132.024
171220  SHIRIUCHI-A            C1    -3676291.621  3049450.687  4212791.457
171221  SHIBECHA2-A            A1    -3794339.676  2706550.259  4339592.537
171222  TOKYOCHIYODA           A3    -3958768.889  3351624.071  3699193.172
171223  HIRATSUKA-A            A3    -3950803.136  3390793.115  3672071.402
179091  M-MEAKAN               A1    -3758126.764  2723970.117  4361087.993
17K201  K-NOKO                 A5    -3388939.822  4130747.540  3471640.204
17R020  R-SENDAI5-A            A2    -3872037.492  3178900.847  3934876.609
181224  CHIBAOOTAKI-A          C3    -4007158.436  3332845.846  3664122.951
181225  YABE-B                 A5    -3524472.161  4056065.226  3425621.831
181226  SANAGOUCHI-A           A4    -3707463.882  3778815.848  3545770.646
181227  OSAKA-A                C4    -3747410.978  3678971.930  3607727.150
189092  M-ASAMAKAMBARA3        A2    -3845193.829  3408302.880  3768656.885
18K202  K-TSUTSU               A5    -3339409.970  4096993.660  3557941.723
191228  HIGASHIIYAYAMA-B       A4    -3681667.327  3815328.697  3534903.132
191229  SHIMODA-A              C3    -3962726.030  3446666.565  3607090.519
191230  KUJI2                  A1    -3828955.663  3034991.339  4086683.164
191231  SHOUWA-A               C3    -3945164.948  3334107.809  3729202.546
191232  NAKATOSA3              C4    -3647379.560  3892732.529  3485148.259
191233  NAKATOSA4              C4    -3654209.076  3885986.130  3485029.140
191234  SENDAI2                A2    -3895435.748  3160416.303  3926161.523
191235  OKAZAKI-A              A2    -3839485.481  3559638.279  3630434.228
191236  HIGASIHIROSIMA-B       C5    -3565666.232  3870695.946  3591770.918
191237  TAKU-A                 A5    -3437615.598  4082247.968  3481093.731
201238  TOYAMA-A               C2    -3762874.106  3482829.975  3781083.557
20E030  E-KAGOSIMAKORIYA       A5    -3525990.681  4133199.533  3330456.201
92106   USAMI                  C3    -3952066.498  3425564.676  3638524.553
92107   ITOU                   C3    -3954923.983  3425658.585  3635341.069
92108   HIEKAWATOUGE           C3    -3954273.728  3428929.310  3633634.112
92109   MINAMIIZU              C3    -3950211.351  3460070.752  3608017.676
92110   TSUKUBA1               BB    -3957161.921  3310203.641  3737752.436
93001   SANO                   C3    -3916074.890  3339646.843  3754679.680
93002   YASATO                 C3    -3954295.633  3297605.121  3751841.580
93003   SANWA                  C3    -3936251.998  3325151.348  3746492.348
93004   HOKOTA                 C3    -3979662.840  3275394.976  3744497.572
93005   KOUNAN                 C3    -3913240.758  3360554.136  3739097.250
93006   DEJIMA                 C3    -3972370.910  3292875.312  3736928.735
93007   KUKI                   C3    -3931946.868  3342005.807  3736051.158
93008   SHOUWA                 C3    -3945253.904  3334006.030  3729199.702
93009   KASHIMA                C3    -3997615.486  3276762.693  3724230.607
93010   SAKURAGAWA             C3    -3982161.048  3293984.658  3725567.360
93011   KAWAGOE                C3    -3929892.123  3360683.713  3721538.241
93012   MORIYA                 C3    -3959982.169  3323676.755  3722866.441
93013   OOMIYA                 C3    -3940275.021  3347291.852  3722609.144
93014   TONE                   C3    -3972149.714  3315877.306  3716867.923
93015   TAIEI                  C3    -3990784.076  3300641.669  3710562.393
93016   ADACHI                 C3    -3957464.036  3342799.767  3708461.063
93017   NERIMA                 C3    -3948604.599  3355415.528  3706594.029
93018   SHIROI                 C3    -3969507.009  3327890.312  3709038.428
93019   KOGANEI                C3    -3941956.157  3368145.398  3702217.546
93020   TOMISATO               C3    -3989770.092  3310589.542  3702828.032
93021   HIKATA                 C3    -4005876.341  3284985.241  3708225.775
93022   CHOUSHI                C3    -4019312.224  3273724.404  3703619.854
93023   CHIBAICHIKAWA          C3    -3967874.242  3340981.696  3699025.221
93024   CHIBAMATSUO            C3    -4001201.256  3304403.962  3696060.421
93025   CHIBAMIDORI            C3    -3990940.014  3326711.781  3687203.305
93026   KANAGAWAKAWASAKI       C3    -3960012.186  3361502.076  3688920.278
93027   OOAMISHIRASATO         C3    -3999254.006  3318094.986  3685921.141
93028   MACHIDA                C3    -3950036.043  3377485.562  3685174.147
93029   ATSUGI                 C3    -3943343.625  3389108.046  3681662.031
93030   ICHIHARA1              C3    -3987833.252  3340105.651  3678496.172
93031   YAMAKITA               C3    -3930322.572  3411139.882  3675733.847
93032   YOKOHAMA               C3    -3965108.367  3368163.068  3677469.529
93033   CHOUSEI                C3    -4005756.349  3321231.716  3676066.057
93034   FUJISAWA               C3    -3959400.506  3385704.679  3667523.009
93035   NINOMIYA               C3    -3948461.529  3400687.960  3665593.267
93036   FUTTSU                 C3    -3981297.354  3361418.507  3666167.175
93037   ICHIHARA2              C3    -3999057.672  3338185.829  3668135.887
93038   GOTENBA                BB    -3925302.371  3426473.886  3667436.164
93039   KYONAN                 C3    -3990579.166  3367102.518  3650948.147
93040   MIURA1                 C3    -3978242.026  3382840.269  3649900.867
93041   KATSUURA               C3    -4014367.728  3336578.817  3653002.133
93042   YUGAWARA               C3    -3946933.166  3417682.510  3651392.295
93043   SIZUOKASIMIZUCHO       C3    -3936328.269  3433653.045  3647896.938
93044   KAMOGAWA               C3    -4005951.087  3351958.549  3648053.838
93045   KANOUZAN               C3    -3991845.564  3354980.433  3661207.845
93046   OOHITO                 C3    -3946822.493  3431171.121  3639405.257
93047   TATEYAMA               C3    -4001073.859  3373506.353  3633774.160
93048   KOMUROYAMA             C3    -3958441.487  3425143.131  3632557.260
93049   AMAGIYUGASHIMA1        C3    -3947081.479  3440248.179  3630345.759
93050   INASA                  C3    -3874666.557  3529096.072  3622934.108
93051   OOSHIMA1               C3    -3980677.471  3414096.010  3618327.894
93052   KAKEGAWA               C3    -3898191.364  3507788.614  3618444.383
93053   KAWAZU                 C3    -3958778.151  3442548.759  3615266.623
93054   HAMAMATSU              C3    -3884796.185  3532757.270  3608546.017
93055   OOSHIMA2               C3    -3988438.702  3414496.308  3609414.895
93056   TOYOHASHI              C3    -3866374.451  3553540.081  3608030.390
93057   NIIJIMA                C3    -3992942.777  3439578.988  3580598.446
93058   KOUZUSHIMA1            BB    -3993635.313  3455193.992  3564908.330
93059   MIYAKE1                C3    -4019594.043  3432590.576  3557623.068
93060   MIYAKE2                C3    -4025114.070  3432047.219  3551927.621
93061   NAKAIZU                C3    -3952347.529  3434065.740  3631057.660
93062   ITOUYAHATANO           C3    -3960768.201  3427978.000  3626849.888
93063   AKIKAWA                C3    -3928377.439  3382740.964  3703468.991
93064   YAMANASHIOOTSUKI       C3    -3916139.302  3407146.462  3694577.557
93065   FUJINO                 C3    -3927401.364  3395161.838  3693262.846
93066   HADANO                 C3    -3939440.612  3399850.004  3677175.567
93067   YOKOSUKA               C3    -3974044.603  3374429.969  3662137.030
93068   HAKONE                 C3    -3938940.725  3418118.336  3660491.755
93069   NAKATOMI               C3    -3892990.868  3450865.202  3678247.260
93070   FUJIYOSHIDA            C3    -3912849.041  3423747.499  3683317.556
93071   FUJINOMIYA1            C3    -3904287.198  3446522.979  3671121.465
93072   SUSONO1                C3    -3919927.243  3435182.385  3666446.867
93073   NANBU                  C3    -3900353.897  3457337.034  3664236.022
93074   SHIZUOKA1              C3    -3893533.315  3474682.382  3656758.836
93075   FUJINOMIYA2            C3    -3914831.001  3449325.442  3656431.459
93076   FUJI                   C3    -3922492.683  3443381.866  3653703.056
93077   SIZUOKASIMIZUSI1       C3    -3915670.111  3461282.937  3644022.380
93078   SHIZUOKA2              C3    -3904641.086  3470519.389  3647416.261
93079   HONKAWANE              C3    -3890476.025  3486449.199  3647505.008
93080   HEDA                   C3    -3935601.326  3447680.813  3635507.197
93081   SHIZUOKA3              C3    -3910477.534  3474534.304  3637042.862
93082   OKABE                  C3    -3904413.802  3484855.364  3633774.712
93083   MISAKUBO               C3    -3871488.352  3502051.688  3652724.855
93084   TOUEI                  C3    -3864767.691  3517255.575  3645268.403
93085   NISHIIZU               C3    -3945335.188  3455575.320  3617520.823
93086   MINAMIIZU2             C3    -3956427.571  3458907.209  3602410.861
93087   YAIZU                  C3    -3914931.240  3484255.437  3622988.425
93088   KAWANE                 C3    -3894497.036  3497417.850  3632501.784
93089   SHIZUOKAMORI           C3    -3890240.951  3511139.746  3623722.399
93090   TENRYUU                C3    -3878656.382  3514738.559  3632599.405
93091   SHIZUOKASAGARA1        C3    -3906891.018  3500911.764  3615940.937
93092   HAIBARA                C3    -3913122.797  3495590.226  3614075.353
93093   DAITOU1                C3    -3903697.353  3508304.970  3611978.592
93094   HAMAOKA1               C3    -3911734.747  3506191.291  3605380.393
93095   ASABA                  C3    -3898676.363  3518099.834  3607884.400
93096   FUKUROI                C3    -3893090.093  3516285.296  3615637.201
93097   HAMAKITA               C3    -3883999.010  3522809.251  3619053.899
93098   RYUUYOU                C3    -3891598.639  3525788.356  3608017.068
93099   HOURAI                 C3    -3863932.595  3531287.318  3632276.506
93100   YUUTOU                 C3    -3878528.876  3537444.482  3610671.123
93101   OMAEZAKI               C3    -3918800.763  3501883.283  3601972.281
93102   AICHIICHINOMIYA        C3    -3858575.819  3543918.335  3625617.909
93103   MIKKABI                C3    -3868625.542  3538198.188  3620503.282
93104   KOSAI                  C3    -3870416.639  3544727.866  3612235.387
940001  WAKKANAI               C1    -3522845.094  2777143.964  4518959.127
940002  OKOPPE                 C1    -3654016.398  2731149.411  4442667.647
940003  HABORO                 C1    -3585038.102  2825576.018  4439831.457
940004  SHARI                  C1    -3754749.304  2660888.173  4401375.411
940005  TESHIKAGA              C1    -3769742.842  2693996.499  4368717.306
940006  NEMURO                 C1    -3832688.825  2633005.512  4351030.815
940007  BIEI                   C1    -3670170.822  2818004.811  4375377.685
940008  MASHIKE                C1    -3605812.279  2867127.091  4396444.748
940009  HAMANAKA               C1    -3828780.641  2668052.685  4333245.884
940010  KUSHIROSHI             C1    -3802588.704  2719181.625  4324563.197
940011  IKEDA                  C1    -3751895.930  2780390.582  4329868.320
940012  SHIMUKAPPU             C1    -3703034.142  2851517.247  4326184.795
940013  OTARU1                 C1    -3621945.005  2929758.940  4342008.369
940014  NAGANUMA               C1    -3669032.996  2894440.045  4326199.144
940015  HIROO                  C1    -3788360.856  2820569.607  4272116.980
940016  SHIZUNAI               C1    -3738168.779  2882458.241  4275028.450
940017  SETANA                 C1    -3603141.625  3038679.732  4282728.869
940018  MURORAN                C1    -3664512.671  2973568.145  4276499.650
940019  ERIMO1                 C1    -3798591.187  2846206.674  4246117.733
940020  OKUSHIRI               C1    -3602045.999  3074307.580  4258309.019
940021  OTOBE                  C1    -3641705.659  3044147.850  4246323.111
940022  HAKODATE               C1    -3685967.791  3011795.371  4231283.306
940023  MATSUMAE               C1    -3668889.845  3074130.960  4201459.244
940024  MUTSU                  C1    -3740469.981  3005988.517  4187613.389
940025  AOMORI                 C1    -3746266.735  3052160.620  4149110.208
940026  AJIGASAWA              C1    -3719900.586  3091285.422  4143908.615
940027  KUJI                   C1    -3836953.115  3020566.835  4089384.767
940028  MIYAKO                 C1    -3876300.150  3035043.998  4041533.573
940029  MIZUSAWA1              C1    -3862395.520  3105010.517  4001962.449
940030  OGA1                   C1    -3737504.747  3161104.269  4075299.473
940031  HONJOU                 C1    -3783408.893  3169232.603  4026661.790
940032  SAKATA                 C1    -3797113.498  3207804.341  3983249.457
940033  YAMAGATASHINJOU        C1    -3832873.029  3179995.824  3971568.401
940034  ATSUMICHO              C1    -3800831.884  3239820.680  3953888.077
940035  TENDOU                 C2    -3858268.203  3195685.640  3934436.247
940036  ONAGAWA                C2    -3911124.678  3117611.720  3944663.206
940037  RIFU                   C2    -3891533.179  3156457.046  3933199.590
940038  SOUMA1                 C2    -3916439.118  3181886.413  3888030.460
940039  FUKUSIMAKORIYAMA       C2    -3906837.804  3240667.546  3849571.506
940040  YAMATO                 C2    -3861932.853  3264567.818  3874351.007
940041  IWAKI                  C2    -3953394.645  3212548.479  3825554.239
940042  HITACHI                C2    -3965319.638  3255778.596  3776586.370
940043  TOCHIGI                C2    -3921452.528  3322525.770  3764233.327
940044  NIIHARU                C2    -3859090.054  3365755.917  3790843.490
940045  TOMIOKA                C2    -3878227.749  3387319.457  3751538.432
940046  OOMACHI                C2    -3806237.979  3445102.629  3773372.395
940047  MINOWA                 C2    -3839933.965  3464317.411  3721858.980
940048  NAKAMICHI              C2    -3894250.322  3435261.479  3691548.752
940049  MURAKAMI               C2    -3815259.049  3257437.316  3925636.070
940050  NIIGATA                C2    -3802743.273  3306972.198  3896413.590
940051  KASHIWAZAKI1           C2    -3804076.189  3356766.617  3852579.036
940052  NYUUZEN                C2    -3762874.937  3449583.038  3811133.847
940053  WAJIMA                 C2    -3704466.447  3467892.825  3851230.216
940054  UCHINADA               C2    -3724913.389  3516330.799  3787549.833
940055  MIKUNI                 C4    -3716054.796  3566934.985  3748951.192
940056  TSURUGA                C4    -3741389.106  3599689.041  3692496.421
940057  MIYAZU                 C4    -3688515.257  3658588.305  3687699.990
940058  TAKAYAMA               C2    -3793444.753  3494621.640  3740868.551
940059  GERO                   C2    -3803183.530  3515827.074  3710497.065
940060  MINO                   C2    -3794518.393  3550844.578  3685581.543
940061  NAKATSUGAWA            C2    -3835898.333  3518949.153  3674146.764
940062  YOUKAICHI              C4    -3768212.512  3618862.887  3646559.762
940063  NISSHIN                C2    -3821946.057  3558877.203  3649558.222
940064  TSU                    C2    -3805280.198  3610786.914  3615960.381
940065  TOBA                   C2    -3840711.878  3600224.354  3589172.801
940066  OWASE                  C4    -3817676.831  3661229.662  3552056.179
940067  MINOO                  C4    -3738084.311  3673280.447  3623208.528
940068  NARAYOSHINO            C4    -3780672.658  3669949.233  3582553.382
940069  WAKAYAMAKAINAN         C4    -3750411.603  3721526.727  3560961.275
940070  KUSHIMOTO              C4    -3815336.673  3714866.073  3498823.904
940071  HYOUGOMITSU            C4    -3678938.752  3737135.706  3618310.461
940072  IWAMI                  C4    -3628817.146  3714520.897  3691005.731
940073  TOUHAKU                C5    -3591893.393  3758832.916  3682342.889
940074  MATSUE                 C5    -3552142.942  3801397.909  3677233.259
940075  GOUTSU                 C5    -3513907.598  3874080.759  3638159.748
940076  SUSA                   C5    -3489492.257  3928877.028  3602975.829
940077  KASAOKA                C5    -3621955.696  3813013.704  3596805.239
940078  HIROSHIMAKUMANO        C5    -3567026.711  3882451.556  3577848.921
940079  SHIMONOSEKI            C5    -3466844.507  4000312.036  3546172.204
940080  TAKAMATSU              C4    -3666264.642  3793359.880  3572750.316
940081  ANAN1                  C4    -3721600.844  3770503.756  3539744.432
940082  MUROTO                 C4    -3714575.662  3830183.723  3483462.350
940083  KOUCHI                 C4    -3668929.663  3855683.387  3503068.970
940084  NAKATOSA1              C4    -3656928.160  3888544.947  3479327.864
940085  TOSASHIMIZU            C4    -3659512.011  3928961.596  3431248.611
940086  IKATA                  C4    -3583255.190  3940545.580  3497573.194
940087  KOGA                   C5    -3446894.627  4039110.432  3521672.682
940088  AKI                    C5    -3542727.222  3977476.004  3496805.332
940089  HITA                   C5    -3497492.965  4027972.200  3484778.769
940090  OOITASAIKI             C5    -3577309.126  3990284.953  3446963.492
940091  GENKAI                 C5    -3412536.530  4088551.350  3498142.614
940092  NAGASAKI               C5    -3443448.505  4124137.522  3426086.524
940093  SENCHOU                C5    -3505547.313  4083411.310  3411684.527
940094  HYUUGA                 C5    -3579360.261  4026952.352  3402257.073
940095  SADOWARA               C5    -3584498.513  4055862.193  3362504.226
940096  AKUNE                  C5    -3493387.744  4135310.861  3361732.253
940097  KAGOSHIMA1             C5    -3532808.609  4141295.541  3313906.621
940098  MAKURAZAKI             C5    -3529403.670  4161806.677  3291026.462
940099  UCHINOURA              C5    -3586682.552  4113298.193  3290584.938
940100  TAMAGUSUKU             C5    -3509124.319  4529007.030  2793529.547
94111   AJIRO                  C3    -3951157.913  3423092.704  3642016.927
942001  SHINTOTSUKAWA          C1    -3642148.795  2861482.260  4370365.606
942002  TSUKUBA2               C3    -3957182.765  3310206.363  3737736.091
942003  CHICHIJIMA             C3    -4488925.786  3483902.883  2887743.186
942004  KANOYA                 C5    -3565271.260  4118973.177  3306293.377
950101  SARUFUTSU              C1    -3547253.950  2754534.643  4513694.070
950102  REBUN                  C1    -3495854.873  2827029.416  4509029.147
950103  KITAMIESASHI           C1    -3585700.534  2747718.999  4487568.423
950104  TESHIO                 BB    -3553971.286  2802590.635  4478917.428
950105  OTOINEPPU              C1    -3589624.680  2777856.998  4466018.809
950106  TEURIJIMA              C1    -3562149.126  2850753.076  4442138.292
950107  SHIMOKAWA              C1    -3633949.078  2775793.192  4431707.980
950108  TOKORO                 C1    -3715253.480  2696340.942  4413223.112
950109  RAUSU                  C1    -3771788.977  2622819.418  4409706.677
950110  HOROKANAI              C1    -3628459.606  2819425.215  4408768.357
950111  MARUSEPPU              C1    -3685941.356  2744044.999  4408701.707
950112  ONBETSU                C1    -3782661.890  2755640.429  4318950.889
950113  NAKASHIBETSU           C1    -3792210.746  2656620.552  4371997.773
950114  KITAMI                 C1    -3717280.614  2721907.972  4396142.429
950115  SHIBETSU               C1    -3791803.385  2642106.978  4381012.760
950116  BEKKAI1                C1    -3791146.896  2676904.775  4360693.337
950117  ATSUTA                 C1    -3628791.865  2893595.307  4360326.096
950118  BEKKAI2                C1    -3808586.402  2655428.393  4358528.045
950119  NEMURO2                C1    -3841094.791  2610294.246  4357252.941
950120  SHAKOTAN               C1    -3592872.572  2951526.549  4351248.706
950121  ASHORO                 C1    -3741001.456  2761893.040  4351067.391
950122  TSURUI                 C1    -3780883.518  2714336.554  4346443.092
950123  KAMISHIHORO            C1    -3731820.437  2781813.945  4346528.861
950124  AKAN1                  C1    -3778372.017  2732419.964  4337337.872
950125  AKKESHI                C1    -3816150.524  2687708.808  4332220.438
950126  TOMARI                 C1    -3601661.010  2969067.912  4332158.371
950127  KYOUWA                 C1    -3608176.219  2969706.907  4326354.213
950128  SAPPORO                BB    -3647450.021  2923169.199  4325315.365
950129  KYOUGOKU               C1    -3633290.904  2954450.091  4316125.225
950130  RANKOSHI               C1    -3621937.441  2974720.637  4311508.970
950131  SUTTSU                 C1    -3603570.411  2998845.627  4310169.678
950132  ATSUMA                 C1    -3690821.952  2897722.628  4305505.848
